Interpolated poverty gap index values per country:

                              Country  Year  Poverty_gap
                              Austria  2015     0.677193
                              Austria  2016     0.664064
                              Austria  2017     0.318090
                              Austria  2018     0.568358
                              Austria  2019     0.640639
                              Austria  2020     0.683578
                              Austria  2021     0.485822
                           Azerbaijan  1995    12.420592
                           Azerbaijan  2001     6.157659
                           Azerbaijan  2002     0.079501
                           Azerbaijan  2003     0.050581
                           Azerbaijan  2004     0.000000
                           Azerbaijan  2005     0.000000
                           Bangladesh  1983    37.284000
                           Bangladesh  1985    31.957998
                           Bangladesh  1988    41.737000
                           Bangladesh  1991    41.944866
                           Bangladesh  1995    33.668743
                           Bangladesh  2000    33.321335
                           Bangladesh  2005    23.966590
                           Bangladesh  2010    18.223856
                           Bangladesh  2016    13.468303
                           Bangladesh  2022     5.008496
                              Belarus  1998    21.763365
                              Belarus  1999    19.192299
                              Belarus  2000    13.642426
                              Belarus  2001     6.624224
                              Belarus  2002     4.394347
                              Belarus  2003     3.510355
                              Belarus  2004     1.300831
                              Belarus  2005     0.890887
                              Belarus  2006     0.398579
                              Belarus  2007     0.218590
                              Belarus  2008     0.166524
                              Belarus  2009     0.138172
                              Belarus  2010     0.033943
                              Belarus  2011     0.006576
                              Belarus  2012     0.012056
                              Belarus  2013     0.000000
                              Belarus  2014     0.000000
                              Belarus  2015     0.000000
                              Belarus  2016     0.000000
                              Belarus  2017     0.000000
                              Belarus  2018     0.000000
                              Belarus  2019     0.000000
                              Belarus  2020     0.000000
                              Belgium  1985     0.240188
                              Belgium  1988     0.477809
                              Belgium  1992     0.983284
                              Belgium  1995     0.412410
                              Belgium  1997     0.492479
                              Belgium  2000     0.305506
                              Belgium  2003     0.294419
                              Belgium  2004     0.052022
                              Belgium  2005     0.193070
                              Belgium  2006     0.168942
                              Belgium  2007     0.151451
                              Belgium  2008     0.118417
                              Belgium  2009     0.107581
                              Belgium  2010     0.137115
                              Belgium  2011     0.168268
                              Belgium  2012     0.156571
                              Belgium  2013     0.144508
                              Belgium  2014     0.076496
                              Belgium  2015     0.070759
                              Belgium  2016     0.059816
                              Belgium  2017     0.147869
                              Belgium  2018     0.081114
                              Belgium  2019     0.078552
                              Belgium  2020     0.054725
                              Belgium  2021     0.029965
                               Belize  1993    13.547187
                               Belize  1994    14.793828
                               Belize  1996    18.196114
                               Belize  1997    20.901537
                               Belize  1998    20.732990
                               Belize  1999    19.556927
                                Benin  2003    53.089462
                                Benin  2011    54.261650
                                Benin  2015    50.709260
                                Benin  2018    20.082186
                                Benin  2021    12.723279
                               Bhutan  2003    13.362205
                               Bhutan  2007     5.853421
                               Bhutan  2012     1.730330
                               Bhutan  2017     0.945762
                               Bhutan  2022     0.001539
                              Bolivia  1997    15.538883
                              Bolivia  1999    21.875101
                              Bolivia  2000    24.247425
                              Bolivia  2001    19.031044
                              Bolivia  2002    19.686430
                              Bolivia  2004    10.216771
                              Bolivia  2005    15.606612
                              Bolivia  2006    12.494706
                              Bolivia  2007     9.466773
                              Bolivia  2008     8.344567
                              Bolivia  2009     8.781656
                              Bolivia  2011     5.298905
                              Bolivia  2012     6.467938
                              Bolivia  2013     5.173073
                              Bolivia  2014     4.275892
                              Bolivia  2015     4.629964
                              Bolivia  2016     5.620338
                              Bolivia  2017     4.933362
                              Bolivia  2018     3.274886
                              Bolivia  2019     1.920535
                              Bolivia  2020     3.121507
                              Bolivia  2021     1.964501
                      Bolivia (urban)  1990     1.085000
                      Bolivia (urban)  1992     8.736937
               Bosnia and Herzegovina  2001     0.325743
               Bosnia and Herzegovina  2004     0.181144
               Bosnia and Herzegovina  2007     0.066459
               Bosnia and Herzegovina  2011     0.074979
                             Botswana  1985    41.794000
                             Botswana  1993    34.100000
                             Botswana  2002    29.139406
                             Botswana  2009    17.686708
                             Botswana  2015    15.426243
                               Brazil  1981    23.947900
                               Brazil  1982    24.424822
                               Brazil  1983    30.580912
                               Brazil  1984    29.915466
                               Brazil  1985    25.750450
                               Brazil  1986    12.265663
                               Brazil  1987    19.946053
                               Brazil  1988    22.418053
                               Brazil  1989    20.403696
                               Brazil  1990    23.992811
                               Brazil  1992    23.291227
                               Brazil  1993    22.100883
                               Brazil  1995    14.736035
                               Brazil  1996    16.004680
                               Brazil  1997    15.976236
                               Brazil  1998    14.337863
                               Brazil  1999    14.968738
                               Brazil  2001    13.042174
                               Brazil  2002    11.738640
                               Brazil  2003    12.605869
                               Brazil  2004    11.055812
                               Brazil  2005     9.962901
                               Brazil  2006     8.264235
                               Brazil  2007     7.870375
                               Brazil  2008     6.507662
                               Brazil  2009     6.120392
                               Brazil  2011     5.322490
                               Brazil  2012     4.493511
                               Brazil  2013     3.728552
                               Brazil  2014     3.325948
                               Brazil  2015     3.877473
                               Brazil  2016     4.733754
                               Brazil  2017     5.302752
                               Brazil  2018     5.306075
                               Brazil  2019     5.409223
                               Brazil  2020     1.951068
                               Brazil  2021     5.834562
                               Brazil  2022     3.505301
                             Bulgaria  1992     0.000000
                             Bulgaria  2006     5.830692
                             Bulgaria  2007     1.792190
                             Bulgaria  2008     1.251184
                             Bulgaria  2009     1.305750
                             Bulgaria  2010     2.007736
                             Bulgaria  2011     2.458757
                             Bulgaria  2012     2.309444
                             Bulgaria  2013     1.783777
                             Bulgaria  2014     1.660309
                             Bulgaria  2015     3.419648
                             Bulgaria  2016     1.966491
                             Bulgaria  2017     1.371766
                             Bulgaria  2018     0.870461
                             Bulgaria  2019     0.923634
                             Bulgaria  2020     0.247863
                             Bulgaria  2021     0.699141
                         Burkina Faso  1994    82.079414
                         Burkina Faso  1998    79.917890
                         Burkina Faso  2003    54.703735
                         Burkina Faso  2009    52.649170
                         Burkina Faso  2014    39.602860
                         Burkina Faso  2018    31.203825
                         Burkina Faso  2021    25.277073
                              Burundi  1992    75.059006
                              Burundi  1998    79.441154
                              Burundi  2006    71.844315
                              Burundi  2013    65.132890
                              Burundi  2020    62.065760
                             Cameroon  1996    50.365902
                             Cameroon  2001    25.694448
                             Cameroon  2007    31.423130
                             Cameroon  2014    25.657516
                             Cameroon  2021    22.992220
                               Canada  1971     2.249591
                               Canada  1973     1.748547
                               Canada  1975     1.492418
                               Canada  1977     1.249660
                               Canada  1979     1.249707
                               Canada  1981     0.749349
                               Canada  1982     0.743109
                               Canada  1984     0.749835
                               Canada  1985     0.499769
                               Canada  1986     0.998190
                               Canada  1987     0.499682
                               Canada  1988     0.749371
                               Canada  1989     1.249350
                               Canada  1990     1.248458
                               Canada  1991     1.247662
                               Canada  1992     0.746888
                               Canada  1993     1.247629
                               Canada  1994     0.989580
                               Canada  1995     0.746809
                               Canada  1996     0.249518
                               Canada  1997     0.247711
                               Canada  1998     0.499656
                               Canada  1999     0.490963
                               Canada  2000     0.247821
                               Canada  2001     0.249382
                               Canada  2002     0.242306
                               Canada  2003     0.237109
                               Canada  2004     0.243559
                               Canada  2005     0.244990
                               Canada  2006     0.249148
                               Canada  2007     0.248252
                               Canada  2008     0.245462
                               Canada  2009     0.244310
                               Canada  2010     0.248831
                               Canada  2011     0.226145
                               Canada  2012     0.246521
                               Canada  2013     0.496485
                               Canada  2014     0.242158
                               Canada  2015     0.245904
                               Canada  2016     0.248714
                               Canada  2017     0.247011
                               Canada  2018     0.249971
                               Canada  2019     0.248638
                           Cape Verde  2001    19.574156
                           Cape Verde  2007    10.567116
                           Cape Verde  2015     4.564231
             Central African Republic  1992    82.185000
             Central African Republic  2008    61.884224
             Central African Republic  2021    65.666510
                                 Chad  2003    57.790245
                                 Chad  2011    36.616726
                                 Chad  2018    30.882942
                                 Chad  2022    30.845234
                                Chile  1987    15.380129
                                Chile  1990    10.668008
                                Chile  1992     6.699598
                                Chile  1994     6.797464
                                Chile  1996     4.664468
                                Chile  1998     4.586697
                                Chile  2000     5.826292
                                Chile  2003     5.287876
                                Chile  2006     2.045367
                                Chile  2009     1.666307
                                Chile  2011     0.903875
                                Chile  2013     0.517119
                                Chile  2015     0.429281
                                Chile  2017     0.359708
                                Chile  2020     1.341573
                                Chile  2022     0.395051
                                China  1981    91.778530
                                China  1984    81.190254
                                China  1987    67.385670
                                China  1990    71.962074
                                China  1993    65.567360
                                China  1996    48.185055
                                China  1999    46.134586
                                China  2002    36.889233
                                China  2005    22.254406
                                China  2008    17.267706
                                China  2010    13.379456
                                China  2011     9.952238
                                China  2012     8.316196
                                China  2013     2.682018
                                China  2014     1.743647
                                China  2015     0.564260
                                China  2016     0.080904
                                China  2017     0.000000
                                China  2018     0.000000
                                China  2019     0.000000
                                China  2020     0.000000
                                China  2021     0.000000
                        China (rural)  1981    96.871000
                        China (rural)  1984    88.666000
                        China (rural)  1987    78.375000
                        China (rural)  1990    83.701004
                        China (rural)  1993    81.542000
                        China (rural)  1996    61.914997
                        China (rural)  1999    62.647003
                        China (rural)  2002    54.851000
                        China (rural)  2005    35.628000
                        China (rural)  2008    31.766000
                        China (rural)  2010    26.350998
                        China (rural)  2011    20.110000
                        China (rural)  2012    17.241000
                        China (rural)  2013     5.708000
                        China (rural)  2014     3.812000
                        China (rural)  2015     1.268000
                        China (rural)  2016     0.187000
                        China (rural)  2017     0.000000
                        China (rural)  2018     0.000000
                        China (rural)  2019     0.000000
                        China (rural)  2020     0.000000
                        China (rural)  2021     0.000000
                        China (urban)  1981    71.558000
                        China (urban)  1984    54.996002
                        China (urban)  1987    33.074997
                        China (urban)  1990    39.306000
                        China (urban)  1993    26.651999
                        China (urban)  1996    18.896000
                        China (urban)  1999    15.286000
                        China (urban)  2002     8.106000
                        China (urban)  2005     4.177000
                        China (urban)  2008     0.613000
                        China (urban)  2010     0.000000
                        China (urban)  2011     0.000000
                        China (urban)  2012     0.000000
                        China (urban)  2013     0.000000
                        China (urban)  2014     0.000000
                        China (urban)  2015     0.000000
                        China (urban)  2016     0.000000
                        China (urban)  2017     0.000000
                        China (urban)  2018     0.000000
                        China (urban)  2019     0.000000
                        China (urban)  2020     0.000000
                        China (urban)  2021     0.000000
                             Colombia  1992     9.557514
                             Colombia  1996    17.573690
                             Colombia  1999    21.354277
                             Colombia  2000    17.496916
                             Colombia  2001    20.995247
                             Colombia  2002    14.178107
                             Colombia  2003    13.005037
                             Colombia  2004    12.007561
                             Colombia  2005    10.736817
                             Colombia  2008    11.025411
                             Colombia  2009     9.602201
                             Colombia  2010     8.284389
                             Colombia  2011     6.828150
                             Colombia  2012     6.715116
                             Colombia  2013     6.111701
                             Colombia  2014     5.431383
                             Colombia  2015     4.925476
                             Colombia  2016     4.913530
                             Colombia  2017     4.339460
                             Colombia  2018     4.498261
                             Colombia  2019     5.284738
                             Colombia  2020     9.359861
                             Colombia  2021     7.334666
                             Colombia  2022     6.036548
                     Colombia (urban)  1980    20.945000
                     Colombia (urban)  1988    14.625999
                     Colombia (urban)  1989    14.002999
                     Colombia (urban)  1991    12.752000
                              Comoros  2004    14.625825
                              Comoros  2014    18.643723
                                Congo  2005    49.553700
                                Congo  2011    35.357456
                           Costa Rica  1981    25.860000
                           Costa Rica  1986    13.922999
                           Costa Rica  1989    10.552571
                           Costa Rica  1990    10.379871
                           Costa Rica  1991    12.413738
                           Costa Rica  1992     9.941776
                           Costa Rica  1993     8.527353
                           Costa Rica  1994     7.041064
                           Costa Rica  1995     7.149303
                           Costa Rica  1996     8.220924
                           Costa Rica  1997     6.724826
                           Costa Rica  1998     5.224196
                           Costa Rica  1999     6.818424
                           Costa Rica  2000     6.926794
                           Costa Rica  2001     5.094759
                           Costa Rica  2002     4.675287
                           Costa Rica  2003     4.724285
                           Costa Rica  2004     4.663471
                           Costa Rica  2005     3.333950
                           Costa Rica  2006     3.337846
                           Costa Rica  2007     1.820663
                           Costa Rica  2008     2.420610
                           Costa Rica  2009     2.477399
                           Costa Rica  2010     1.489236
                           Costa Rica  2011     1.750300
                           Costa Rica  2012     1.673368
                           Costa Rica  2013     1.642579
                           Costa Rica  2014     1.505303
                           Costa Rica  2015     1.573227
                           Costa Rica  2016     1.336738
                           Costa Rica  2017     1.172351
                           Costa Rica  2018     1.505753
                           Costa Rica  2019     1.057139
                           Costa Rica  2020     2.291326
                           Costa Rica  2021     1.242194
                           Costa Rica  2022     0.886874
                           Costa Rica  2023     0.882620
                        Cote d'Ivoire  1985     8.229618
                        Cote d'Ivoire  1986     4.435484
                        Cote d'Ivoire  1987     9.430369
                        Cote d'Ivoire  1988    13.449971
                        Cote d'Ivoire  1992    27.058142
                        Cote d'Ivoire  1995    25.906212
                        Cote d'Ivoire  1998    30.364796
                        Cote d'Ivoire  2008    34.417350
                        Cote d'Ivoire  2015    33.447136
                        Cote d'Ivoire  2018    11.502216
                        Cote d'Ivoire  2021     9.733192
                              Croatia  1988     0.000000
                              Croatia  2009     0.857599
                              Croatia  2010     1.209845
                              Croatia  2011     0.625336
                              Croatia  2012     0.787402
                              Croatia  2013     0.728868
                              Croatia  2014     0.981814
                              Croatia  2015     0.594815
                              Croatia  2016     0.615991
                              Croatia  2017     0.517149
                              Croatia  2018     0.437551
                              Croatia  2019     0.259926
                              Croatia  2020     0.313934
                              Croatia  2021     0.308004
                               Cyprus  2004     0.094068
                               Cyprus  2005     0.006351
                               Cyprus  2006     0.018199
                               Cyprus  2007     0.025159
                               Cyprus  2008     0.008470
                               Cyprus  2009     0.111965
                               Cyprus  2010     0.036670
                               Cyprus  2011     0.008045
                               Cyprus  2012     0.004238
                               Cyprus  2013     0.097019
                               Cyprus  2014     0.078330
                               Cyprus  2015     0.026798
                               Cyprus  2016     0.041149
                               Cyprus  2017     0.032829
                               Cyprus  2018     0.016507
                               Cyprus  2019     0.153832
                               Cyprus  2020     0.012642
                               Cyprus  2021     0.005303
                              Czechia  1992     0.000000
                              Czechia  1993     0.000000
                              Czechia  1996     0.000000
                              Czechia  2002     0.000000
                              Czechia  2004     0.000000
                              Czechia  2005     0.004933
                              Czechia  2006     0.065811
                              Czechia  2007     0.115903
                              Czechia  2008     0.032780
                              Czechia  2009     0.012036
                              Czechia  2010     0.036178
                              Czechia  2011     0.046061
                              Czechia  2012     0.032207
                              Czechia  2013     0.045691
                              Czechia  2014     0.000000
                              Czechia  2015     0.008765
                              Czechia  2016     0.000000
                              Czechia  2017     0.000000
                              Czechia  2018     0.008862
                              Czechia  2019     0.000000
                              Czechia  2020     0.008142
                              Czechia  2021     0.059851
         Democratic Republic of Congo  2004    91.467300
         Democratic Republic of Congo  2012    69.688450
         Democratic Republic of Congo  2020    78.942020
                              Denmark  1987     0.497396
                              Denmark  1992     0.493952
                              Denmark  1995     0.000000
                              Denmark  2000     0.000000
                              Denmark  2003     0.343275
                              Denmark  2004     0.314981
                              Denmark  2005     0.254848
                              Denmark  2006     0.137509
                              Denmark  2007     0.013914
                              Denmark  2008     0.113211
                              Denmark  2009     0.494775
                              Denmark  2010     0.057294
                              Denmark  2011     0.000000
                              Denmark  2012     0.000000
                              Denmark  2013     0.310916
                              Denmark  2014     0.202611
                              Denmark  2015     0.175426
                              Denmark  2016     0.278387
                              Denmark  2017     0.140905
                              Denmark  2018     0.170112
                              Denmark  2019     0.251407
                              Denmark  2020     0.164991
                              Denmark  2021     0.153680
                             Djibouti  2002    22.547215
                             Djibouti  2012    19.691906
                             Djibouti  2013    24.925982
                             Djibouti  2017    19.079206
                   Dominican Republic  1986     7.092000
                   Dominican Republic  1989    17.415000
                   Dominican Republic  1992     7.615000
                   Dominican Republic  1996     6.450147
                   Dominican Republic  1997     6.870507
                   Dominican Republic  2000     6.714430
                   Dominican Republic  2001     5.137963
                   Dominican Republic  2002     7.614324
                   Dominican Republic  2003     8.697802
                   Dominican Republic  2004    11.607311
                   Dominican Republic  2005     7.409543
                   Dominican Republic  2006     6.255223
                   Dominican Republic  2007     6.067928
                   Dominican Republic  2008     5.448600
                   Dominican Republic  2009     4.679977
                   Dominican Republic  2010     3.869214
                   Dominican Republic  2011     4.055294
                   Dominican Republic  2012     3.848862
                   Dominican Republic  2013     2.971823
                   Dominican Republic  2014     3.355926
                   Dominican Republic  2015     2.534987
                   Dominican Republic  2016     2.030172
                   Dominican Republic  2017     1.001545
                   Dominican Republic  2018     0.835534
                   Dominican Republic  2019     0.832687
                   Dominican Republic  2020     0.959418
                   Dominican Republic  2021     0.853729
                   Dominican Republic  2022     0.757176
          East Asia and Pacific (PIP)  1990    65.226840
          East Asia and Pacific (PIP)  1991    63.887947
          East Asia and Pacific (PIP)  1992    61.820377
          East Asia and Pacific (PIP)  1993    59.818493
          East Asia and Pacific (PIP)  1994    53.977320
          East Asia and Pacific (PIP)  1995    48.958206
          East Asia and Pacific (PIP)  1996    44.763710
          East Asia and Pacific (PIP)  1997    44.439323
          East Asia and Pacific (PIP)  1998    45.499220
          East Asia and Pacific (PIP)  1999    42.101120
          East Asia and Pacific (PIP)  2000    39.675434
          East Asia and Pacific (PIP)  2001    36.990456
          East Asia and Pacific (PIP)  2002    32.549126
          East Asia and Pacific (PIP)  2003    28.546062
          East Asia and Pacific (PIP)  2004    24.948715
          East Asia and Pacific (PIP)  2005    20.694542
          East Asia and Pacific (PIP)  2006    19.933287
          East Asia and Pacific (PIP)  2007    17.602987
          East Asia and Pacific (PIP)  2008    16.239542
          East Asia and Pacific (PIP)  2009    14.463806
          East Asia and Pacific (PIP)  2010    12.612144
          East Asia and Pacific (PIP)  2011     9.925000
          East Asia and Pacific (PIP)  2012     8.272548
          East Asia and Pacific (PIP)  2013     4.318707
          East Asia and Pacific (PIP)  2014     3.422671
          East Asia and Pacific (PIP)  2015     2.340756
          East Asia and Pacific (PIP)  2016     1.654871
          East Asia and Pacific (PIP)  2017     1.188653
          East Asia and Pacific (PIP)  2018     1.150427
          East Asia and Pacific (PIP)  2019     0.978202
          East Asia and Pacific (PIP)  2020     1.051459
          East Asia and Pacific (PIP)  2021     1.082326
          East Asia and Pacific (PIP)  2022     0.952624
          East Asia and Pacific (PIP)  2023     0.890315
          East Asia and Pacific (PIP)  2024     0.824413
                           East Timor  2001    40.912490
                           East Timor  2007    40.878075
                           East Timor  2014    24.443077
    Eastern and Southern Africa (PIP)  1990    54.239940
    Eastern and Southern Africa (PIP)  1991    55.671196
    Eastern and Southern Africa (PIP)  1992    57.003647
    Eastern and Southern Africa (PIP)  1993    58.122807
    Eastern and Southern Africa (PIP)  1994    58.315502
    Eastern and Southern Africa (PIP)  1995    57.528313
    Eastern and Southern Africa (PIP)  1996    56.613056
    Eastern and Southern Africa (PIP)  1997    56.454624
    Eastern and Southern Africa (PIP)  1998    56.614120
    Eastern and Southern Africa (PIP)  1999    56.582134
    Eastern and Southern Africa (PIP)  2000    56.347157
    Eastern and Southern Africa (PIP)  2001    55.892350
    Eastern and Southern Africa (PIP)  2002    56.558258
    Eastern and Southern Africa (PIP)  2003    55.602062
    Eastern and Southern Africa (PIP)  2004    52.267075
    Eastern and Southern Africa (PIP)  2005    50.180000
    Eastern and Southern Africa (PIP)  2006    48.307617
    Eastern and Southern Africa (PIP)  2007    47.036884
    Eastern and Southern Africa (PIP)  2008    45.817474
    Eastern and Southern Africa (PIP)  2009    45.557384
    Eastern and Southern Africa (PIP)  2010    44.182390
    Eastern and Southern Africa (PIP)  2011    42.888466
    Eastern and Southern Africa (PIP)  2012    42.234116
    Eastern and Southern Africa (PIP)  2013    41.666790
    Eastern and Southern Africa (PIP)  2014    41.517010
    Eastern and Southern Africa (PIP)  2015    41.717606
    Eastern and Southern Africa (PIP)  2016    42.219563
    Eastern and Southern Africa (PIP)  2017    42.570976
    Eastern and Southern Africa (PIP)  2018    42.768032
    Eastern and Southern Africa (PIP)  2019    43.057068
    Eastern and Southern Africa (PIP)  2020    44.483690
    Eastern and Southern Africa (PIP)  2021    44.201730
    Eastern and Southern Africa (PIP)  2022    43.564415
    Eastern and Southern Africa (PIP)  2023    43.656254
    Eastern and Southern Africa (PIP)  2024    43.202200
                              Ecuador  1994    17.128565
                              Ecuador  1999    21.815004
                              Ecuador  2000    28.154139
                              Ecuador  2003    14.815193
                              Ecuador  2004    15.062325
                              Ecuador  2005    11.803507
                              Ecuador  2006     8.153784
                              Ecuador  2007     8.518901
                              Ecuador  2008     7.513952
                              Ecuador  2009     7.310500
                              Ecuador  2010     5.678202
                              Ecuador  2011     4.669198
                              Ecuador  2012     4.463145
                              Ecuador  2013     3.241089
                              Ecuador  2014     2.635611
                              Ecuador  2015     3.440066
                              Ecuador  2016     3.575028
                              Ecuador  2017     3.213253
                              Ecuador  2018     3.311491
                              Ecuador  2019     3.583584
                              Ecuador  2020     6.519245
                              Ecuador  2021     3.583180
                              Ecuador  2022     3.180792
                              Ecuador  2023     3.798431
                      Ecuador (urban)  1987    17.615000
                      Ecuador (urban)  1995    13.808841
                      Ecuador (urban)  1998    15.662539
                                Egypt  1990     5.230000
                                Egypt  1995     2.035000
                                Egypt  1999     0.000000
                                Egypt  2004     3.107614
                                Egypt  2008     2.871903
                                Egypt  2010     1.037314
                                Egypt  2012     0.890078
                                Egypt  2015     0.906030
                                Egypt  2017     2.504851
                                Egypt  2019     1.467015
                          El Salvador  1989    19.428000
                          El Salvador  1991    22.060562
                          El Salvador  1995    13.259300
                          El Salvador  1996    15.262267
                          El Salvador  1998    21.031042
                          El Salvador  1999    17.251175
                          El Salvador  2000    12.942934
                          El Salvador  2001    14.104641
                          El Salvador  2002    14.728867
                          El Salvador  2003    15.813787
                          El Salvador  2004    11.488363
                          El Salvador  2005    11.278455
                          El Salvador  2006     7.650643
                          El Salvador  2007     5.068491
                          El Salvador  2008     7.717508
                          El Salvador  2009     7.419960
                          El Salvador  2010     6.345635
                          El Salvador  2011     5.340929
                          El Salvador  2012     4.637147
                          El Salvador  2013     3.624729
                          El Salvador  2014     3.441484
                          El Salvador  2015     2.308848
                          El Salvador  2016     2.632982
                          El Salvador  2017     2.155499
                          El Salvador  2018     1.842766
                          El Salvador  2019     1.401915
                          El Salvador  2021     3.586186
                          El Salvador  2022     3.363398
                              Estonia  1993     0.000000
                              Estonia  2003     2.509491
                              Estonia  2004     1.078871
                              Estonia  2005     0.811684
                              Estonia  2006     0.823972
                              Estonia  2007     0.425324
                              Estonia  2008     0.386178
                              Estonia  2009     0.555037
                              Estonia  2010     0.792220
                              Estonia  2011     0.979615
                              Estonia  2012     0.739739
                              Estonia  2013     0.859655
                              Estonia  2014     0.830527
                              Estonia  2015     0.600040
                              Estonia  2016     0.470059
                              Estonia  2017     0.268706
                              Estonia  2018     0.248736
                              Estonia  2019     0.556940
                              Estonia  2020     0.348659
                              Estonia  2021     0.309240
                             Eswatini  1994    85.444000
                             Eswatini  2000    56.133385
                             Eswatini  2009    49.325603
                             Eswatini  2016    36.079850
                             Ethiopia  1995    69.207146
                             Ethiopia  1999    58.026524
                             Ethiopia  2004    34.576767
                             Ethiopia  2010    30.750937
                             Ethiopia  2015    26.984606
                     Ethiopia (rural)  1981    71.255000
        Europe and Central Asia (PIP)  1990     3.634695
        Europe and Central Asia (PIP)  1991     4.190509
        Europe and Central Asia (PIP)  1992     5.487251
        Europe and Central Asia (PIP)  1993     6.281484
        Europe and Central Asia (PIP)  1994     8.115772
        Europe and Central Asia (PIP)  1995     8.119874
        Europe and Central Asia (PIP)  1996     8.099813
        Europe and Central Asia (PIP)  1997     7.548305
        Europe and Central Asia (PIP)  1998     7.724432
        Europe and Central Asia (PIP)  1999    10.030625
        Europe and Central Asia (PIP)  2000     9.158989
        Europe and Central Asia (PIP)  2001     8.311846
        Europe and Central Asia (PIP)  2002     7.407640
        Europe and Central Asia (PIP)  2003     7.256392
        Europe and Central Asia (PIP)  2004     5.538109
        Europe and Central Asia (PIP)  2005     4.731936
        Europe and Central Asia (PIP)  2006     3.301455
        Europe and Central Asia (PIP)  2007     2.167360
        Europe and Central Asia (PIP)  2008     1.390994
        Europe and Central Asia (PIP)  2009     1.212999
        Europe and Central Asia (PIP)  2010     1.158728
        Europe and Central Asia (PIP)  2011     0.908328
        Europe and Central Asia (PIP)  2012     0.869240
        Europe and Central Asia (PIP)  2013     0.700767
        Europe and Central Asia (PIP)  2014     1.011720
        Europe and Central Asia (PIP)  2015     0.844023
        Europe and Central Asia (PIP)  2016     0.666144
        Europe and Central Asia (PIP)  2017     0.720794
        Europe and Central Asia (PIP)  2018     0.437647
        Europe and Central Asia (PIP)  2019     0.457997
        Europe and Central Asia (PIP)  2020     0.523552
        Europe and Central Asia (PIP)  2021     0.534998
        Europe and Central Asia (PIP)  2022     0.492511
